Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.26% of 3.89 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.4    0.00    3.87                 activate(void*) [1]
                0.00    3.87       1/1           atmosphere::obs(double, double, double*, int) [2]
                0.00    0.00       1/1           atmosphere::init(char const*, io_class*) [48]
                0.00    0.00       1/1           io_class::io_class(char*, char*&, char const*, unsigned int, unsigned int, int, int) [2464]
                0.00    0.00       1/365034      io_class::msg(int, char const*, ...) [2344]
-----------------------------------------------
                0.00    3.87       1/1           activate(void*) [1]
[2]     99.4    0.00    3.87       1         atmosphere::obs(double, double, double*, int) [2]
                0.00    3.84       1/1           atmosphere::nltepops() [3]
                0.00    0.01     201/47433       atmosphere::opacity(double***, double***, double***, double***, double****, double, double, double) [4]
                0.00    0.01     201/47433       atmosphere::emissivity(double***, double***, double***, double***, double****, double, double, double) [6]
                0.01    0.00      13/13          atmol::prof_clear() [38]
                0.00    0.00       1/1           atmosphere::ltepops() [39]
                0.00    0.00     201/47433       atmos_ppbez::formal(double***, double***, double***, double***, double, double) [14]
                0.00    0.00       1/247         atmosphere::project(double***, double***, double***, double, double, int, int, int, int, int, int) [44]
                0.00    0.00       1/2277097     ft3dim(int, int, int, int, int, int) [24]
                0.00    0.00    2613/616629      atmol::prof_init() [2339]
                0.00    0.00    1407/332031      atom::prof_init() [2345]
                0.00    0.00     404/2277086     del_ft3dim(double***, int, int, int, int, int, int) [2338]
                0.00    0.00      20/20          atmol::set_parent_atmosphere(atmosphere*) [2393]
                0.00    0.00      13/13          atmol::prof_setup() [2400]
                0.00    0.00       7/7           atom::prof_setup() [2415]
                0.00    0.00       7/7           atom::prof_clear() [2414]
                0.00    0.00       2/365034      io_class::msg(int, char const*, ...) [2344]
                0.00    0.00       1/1           atmosphere::popsetup() [2444]
                0.00    0.00       1/247         atmosphere::transform(double***, double***, double***, double, double, int, int, int, int, int, int) [2376]
                0.00    0.00       1/253         del_ft4dim(double****, int, int, int, int, int, int, int, int) [2374]
                0.00    0.00       1/1           atmosphere::popclean() [2443]
-----------------------------------------------
                0.00    3.84       1/1           atmosphere::obs(double, double, double*, int) [2]
[3]     98.8    0.00    3.84       1         atmosphere::nltepops() [3]
                0.00    1.64   47232/47433       atmosphere::opacity(double***, double***, double***, double***, double****, double, double, double) [4]
                0.00    1.60   47232/47433       atmosphere::emissivity(double***, double***, double***, double***, double****, double, double, double) [6]
                0.27    0.00  330624/330624      atom::add(double***, double***, double***, double, double) [13]
                0.21    0.00   47232/47433       atmos_ppbez::formal(double***, double***, double***, double***, double, double) [14]
                0.00    0.13      41/41          atmosphere::newpops(double***, double***, double***, double*, int) [17]
                0.01    0.00  614016/614016      atmol::add(double***, double***, double***, double, double) [37]
                0.00    0.00    7011/32493249     atom::get_pop(int, int, int, int, int) [15]
                0.00    0.00       7/7           atom::getlambda(double*, int&, double, double, double) [43]
                0.00    0.00     246/247         atmosphere::project(double***, double***, double***, double, double, int, int, int, int, int, int) [44]
                0.00    0.00       2/2277097     ft3dim(int, int, int, int, int, int) [24]
                0.00    0.00  614016/616629      atmol::prof_init() [2339]
                0.00    0.00  330624/332031      atom::prof_init() [2345]
                0.00    0.00   94712/2277086     del_ft3dim(double***, int, int, int, int, int, int) [2338]
                0.00    0.00     533/533         atmol::rtinit() [2372]
                0.00    0.00     287/287         atom::rtinit() [2373]
                0.00    0.00     246/247         atmosphere::transform(double***, double***, double***, double, double, int, int, int, int, int, int) [2376]
                0.00    0.00     246/253         del_ft4dim(double****, int, int, int, int, int, int, int, int) [2374]
                0.00    0.00      44/365034      io_class::msg(int, char const*, ...) [2344]
                0.00    0.00      13/13          atmol::getlambda(double*, int&, double, double, double) [2405]
                0.00    0.00      13/13          atmol::rtsetup(double*, double*, int, double*, int, int, int, int, int, int, int) [2404]
                0.00    0.00      13/13          atmol::rtclean(int, int, int, int, int, int, int, int) [2403]
                0.00    0.00       7/7           atom::rtsetup(double*, double*, int, double*, int, int, int, int, int, int, int) [2419]
                0.00    0.00       7/7           atom::rtclean(int, int, int, int, int, int, int, int) [2418]
                0.00    0.00       1/1           atmos_pp::anglesetup(double*&, double*&, int&) [2462]
-----------------------------------------------
                0.00    0.01     201/47433       atmosphere::obs(double, double, double*, int) [2]
                0.00    1.64   47232/47433       atmosphere::nltepops() [3]
[4]     42.2    0.00    1.64   47433         atmosphere::opacity(double***, double***, double***, double***, double****, double, double, double) [4]
                0.01    1.60  332031/332031      atom::opacity(double***, double***, double***, double***, double***, double, double, double) [5]
                0.01    0.02   47433/94866       h_minus_mol::opacity(double***, double***, double***, double***, double***, double, double, double) [23]
                0.01    0.00  948660/1897319     atmosphere::add(double***, double***, int, int, int, int, int, int) [34]
                0.00    0.00   47433/2277097     ft3dim(int, int, int, int, int, int) [24]
                0.00    0.00  569196/569196      atmol::opacity(double***, double***, double***, double***, double***, double, double, double) [2341]
-----------------------------------------------
                0.01    1.60  332031/332031      atmosphere::opacity(double***, double***, double***, double***, double****, double, double, double) [4]
[5]     41.4    0.01    1.60  332031         atom::opacity(double***, double***, double***, double***, double***, double, double, double) [5]
                0.21    0.41  332031/332031      atom::boundbound_op(double***, double***, double***, double***, double***, double) [10]
                0.52    0.01  332031/664062      atom::freefree_op(double***, double***, double***, double) [8]
                0.35    0.08  332031/664062      atom::boundfree_op(double***, double) [9]
                0.02    0.00  664062/1328124     atom::add(double***, double***, int, int, int, int, int, int) [27]
-----------------------------------------------
                0.00    0.01     201/47433       atmosphere::obs(double, double, double*, int) [2]
                0.00    1.60   47232/47433       atmosphere::nltepops() [3]
[6]     41.2    0.00    1.60   47433         atmosphere::emissivity(double***, double***, double***, double***, double****, double, double, double) [6]
                0.12    1.42  332031/332031      atom::emissivity(double***, double***, double***, double***, double***, double, double, double) [7]
                0.02    0.03   47433/47433       h_minus_mol::emissivity(double***, double***, double***, double***, double***, double, double, double) [25]
                0.01    0.00   47433/47433       atmosphere::thomson_em(double***, double, int, int, int, int, int, int) [33]
                0.01    0.00  948659/1897319     atmosphere::add(double***, double***, int, int, int, int, int, int) [34]
                0.00    0.00  569196/569196      atmol::emissivity(double***, double***, double***, double***, double***, double, double, double) [2340]
-----------------------------------------------
                0.12    1.42  332031/332031      atmosphere::emissivity(double***, double***, double***, double***, double****, double, double, double) [6]
[7]     39.6    0.12    1.42  332031         atom::emissivity(double***, double***, double***, double***, double***, double, double, double) [7]
                0.52    0.01  332031/664062      atom::freefree_op(double***, double***, double***, double) [8]
                0.09    0.35  332031/332031      atom::boundbound_em(double***, double***, double***, double***, double***, double) [12]
                0.35    0.08  332031/664062      atom::boundfree_op(double***, double) [9]
                0.02    0.00  664062/1328124     atom::add(double***, double***, int, int, int, int, int, int) [27]
-----------------------------------------------
                0.52    0.01  332031/664062      atom::emissivity(double***, double***, double***, double***, double***, double, double, double) [7]
                0.52    0.01  332031/664062      atom::opacity(double***, double***, double***, double***, double***, double, double, double) [5]
[8]     26.9    1.03    0.01  664062         atom::freefree_op(double***, double***, double***, double) [8]
                0.01    0.00  664062/2277097     ft3dim(int, int, int, int, int, int) [24]
-----------------------------------------------
                0.35    0.08  332031/664062      atom::emissivity(double***, double***, double***, double***, double***, double, double, double) [7]
                0.35    0.08  332031/664062      atom::opacity(double***, double***, double***, double***, double***, double, double, double) [5]
[9]     22.4    0.70    0.17  664062         atom::boundfree_op(double***, double) [9]
                0.10    0.00 145998774/145998774     bfcs::U(double) [19]
                0.06    0.00 16222086/16222086     hybf::U(double) [21]
                0.01    0.00  664062/2277097     ft3dim(int, int, int, int, int, int) [24]
-----------------------------------------------
                0.21    0.41  332031/332031      atom::opacity(double***, double***, double***, double***, double***, double, double, double) [5]
[10]    16.0    0.21    0.41  332031         atom::boundbound_op(double***, double***, double***, double***, double***, double) [10]
                0.21    0.08 8111043/16222086     atom::damp_col(int, int, int, int, int, int, double, double, double) [11]
                0.06    0.00 8111043/8111957     fvoigt(double, double) [22]
                0.05    0.00 8111043/16222089     atom::broad_dop(double, double, double) [18]
                0.01    0.00  332031/2277097     ft3dim(int, int, int, int, int, int) [24]
                0.00    0.00  142299/284604      atom::damp_rad(float**, unsigned short, unsigned short) [2346]
-----------------------------------------------
                0.21    0.08 8111043/16222086     atom::boundbound_em(double***, double***, double***, double***, double***, double) [12]
                0.21    0.08 8111043/16222086     atom::boundbound_op(double***, double***, double***, double***, double***, double) [10]
[11]    15.2    0.42    0.17 16222086         atom::damp_col(int, int, int, int, int, int, double, double, double) [11]
                0.13    0.00 32444172/32493249     atom::get_pop(int, int, int, int, int) [15]
                0.02    0.00 32444172/32486238     atmosphere::get_pop(int, int, int, int, int, int) [29]
                0.02    0.00 32444170/32486236     atmol::fetch_population(int, int, int, int, int, int) [30]
-----------------------------------------------
                0.09    0.35  332031/332031      atom::emissivity(double***, double***, double***, double***, double***, double, double, double) [7]
[12]    11.4    0.09    0.35  332031         atom::boundbound_em(double***, double***, double***, double***, double***, double) [12]
                0.21    0.08 8111043/16222086     atom::damp_col(int, int, int, int, int, int, double, double, double) [11]
                0.05    0.00 8111043/16222089     atom::broad_dop(double, double, double) [18]
                0.01    0.00  332031/2277097     ft3dim(int, int, int, int, int, int) [24]
                0.00    0.00  142299/284604      atom::damp_rad(float**, unsigned short, unsigned short) [2346]
-----------------------------------------------
                0.27    0.00  330624/330624      atmosphere::nltepops() [3]
[13]     6.9    0.27    0.00  330624         atom::add(double***, double***, double***, double, double) [13]
-----------------------------------------------
                0.00    0.00     201/47433       atmosphere::obs(double, double, double*, int) [2]
                0.21    0.00   47232/47433       atmosphere::nltepops() [3]
[14]     5.4    0.21    0.00   47433         atmos_ppbez::formal(double***, double***, double***, double***, double, double) [14]
-----------------------------------------------
                0.00    0.00    7011/32493249     atmosphere::nltepops() [3]
                0.00    0.00   42066/32493249     atom::pops(atmol**, unsigned short, double, double, int, int, int) [41]
                0.13    0.00 32444172/32493249     atom::damp_col(int, int, int, int, int, int, double, double, double) [11]
[15]     3.3    0.13    0.00 32493249         atom::get_pop(int, int, int, int, int) [15]
-----------------------------------------------
                0.00    0.00      57/2394        atmosphere::ltepops() [39]
                0.02    0.11    2337/2394        atmosphere::newpops(double***, double***, double***, double*, int) [17]
[16]     3.3    0.02    0.11    2394         atmosphere::chemeq(atmol**, int, double, double, double&, int, int, int) [16]
                0.04    0.05  241374/241374      atom::ionfrc(double, double, double*&, double*&, int&) [20]
                0.02    0.00    5586/5586        svdcmp(double**, int, int, double*, double**) [31]
                0.00    0.00  364854/365034      io_class::msg(int, char const*, ...) [2344]
